year,60_40_return,60_40_maxdd,60_40_start,60_40_end,multi_return,multi_maxdd,multi_start,multi_end,v8_return,v8_maxdd,v8_start,v8_end
2006,0.08074994790148793,-0.276937495562224,10000.0,10807.49947901488,0.06429785614679462,-0.1524283396308036,10095.130819165166,10744.22608835892,0.7025949877611537,-0.0029143240396601686,10000.0,17025.949877611536
2007,0.3985030027372116,-0.21856830533408253,10774.285101133351,15067.870066281794,0.2548766857082938,-0.08722029840734723,10713.477445512148,13444.093069234841,0.30244627335626295,-0.1434755979124851,17025.948854873906,22175.383636384853
2008,-0.519098448792902,-0.608047095241063,14788.03817261481,7111.590496520241,-0.05131632391937768,-0.24814625716623714,13532.069182930793,12837.653137440087,0.11064273649483813,-0.13566088553864702,22061.174158330723,24502.08283749764
2009,1.0388983544090187,-0.2713864155879564,7231.795529121707,14744.896003748747,0.36764315975221384,-0.11049764805990585,12690.719407602042,17356.3755901416,0.4569751234627719,-0.09921633003510821,24502.07793708107,35698.918027473155
2010,0.3549649315814136,-0.26677486496355884,15315.944525894596,20752.567726633497,0.2645880572623953,-0.07415841442002728,17793.01383015546,22500.832792319226,0.11596946262655172,-0.24899573203395742,35789.29460424039,39939.7598672775
2011,-0.04905098473427305,-0.24788829407958607,21319.207848239825,20273.47970952902,0.14115031951437285,-0.07713543508140566,22712.045225315072,25917.85766569318,0.05709655289922022,-0.25912028535753373,40078.03105236096,42366.34847243867
2012,0.24745685506444381,-0.23973638931506586,21139.91355078791,26371.130074400106,0.12079529355297947,-0.09658462517233399,26226.796592206836,29394.870185516742,0.23488631441694685,-0.15892460569334194,42366.344107204335,52317.6185298657
2013,0.5574436872959154,-0.1448189452110282,28106.775703681986,43774.72038994172,0.06452068715269466,-0.12387672792726409,30068.60371335269,32008.650686660276,0.16054250374212886,-0.22451166923784582,52257.84077582554,60647.44537413409
2014,0.32109478484211884,-0.166256310578692,43055.538645424305,56880.44756303835,0.19841354788532084,-0.06053328575870551,31912.826959442857,38244.76417951623,0.8333594404043934,-0.12643256383541768,60401.38795244444,110737.45481614221
2015,0.04305334988582232,-0.24647511824156776,56582.748584152854,59018.8254564479,-0.023442752695934654,-0.11740007512957466,38342.075046755,37443.23126358496,0.10153490114964514,-0.16379983869695608,111168.2453833673,122455.70218934701
2016,0.11905999762045738,-0.16243809309496227,56833.7302496827,63600.35403797164,0.06773502635299744,-0.12598748250100983,37197.39204867184,39716.95837935141,0.09525010708846438,-0.16463616841698056,123123.46559112851,134850.98887378635
2017,0.7069786929293462,-0.1170727544257132,64839.8856157667,110680.30319808976,0.3103343092149695,-0.0651768147733104,40147.42323959682,52606.54609741811,0.13326540019835997,-0.11361976727973225,134803.17884624016,152767.77842319544
2018,-0.15022323574720142,-0.3969392856999747,115310.172745046,97987.90548071644,-0.06366826464839626,-0.14428533286413656,53433.599370401775,50031.574824570656,-0.23845879988166396,-0.2900796276442579,185530.21344912247,141288.90140825577
2019,0.8713781998447956,-0.2142232035757454,98649.95014030297,184611.36610833902,0.38946033185229445,-0.058709825032230406,50294.812268599824,69882.64654517756,0.19019723002241595,-0.04449376015104912,141288.88727936562,168161.64227285032
2020,0.6840582483209712,-0.47905699975119204,191846.17798375964,323080.1384424035,0.3651403936798747,-0.19381007103904413,71344.84811831157,97395.73404726273,1.1971641124748054,-0.13138910229587772,168714.66270124508,370693.8021354673
2021,0.49308107985611893,-0.22991755577002243,315495.2062655187,471059.9232603496,0.13770243491908585,-0.1360316202807535,97193.40677699473,110577.17554826807,0.14172844124302042,-0.12200991553678976,370693.7646889873,423231.6141368645
2022,-0.4723302094698313,-0.5177998544521754,479359.8366657309,252943.70460198214,-0.2592795565667345,-0.31784267057270915,110168.62332366983,81604.15152074111,0.24023739298837188,-0.05126469559569722,421409.73482319235,522648.1108970372
2023,1.4187006738441101,-0.2532976983299525,253339.02090273908,612751.2605684621,0.46475930989073344,-0.17381933416039017,82569.9806181133,120945.14782787889,-0.3176018398876982,-0.33066619652320306,521711.58022436366,356015.0224543873
2024,0.5896122209631176,-0.2599447220255798,587031.6716005672,933152.7192686691,0.22747313090201393,-0.10348743092259137,118264.28273938509,145166.22940799402,1.2871735494293342,-0.045556638509353646,360326.47655481374,824129.1863352391
2025,0.5100660092217939,-0.3394768541125867,933356.1298021879,1409429.3661130886,0.36293892176320575,-0.11282804766421083,145783.40609293696,198693.87831127507,1.3094375363371076,-0.18070005055929172,820086.5716399783,1893938.7115913765
2026,0.05125159503189658,-0.14001991239021733,1407585.8749733064,1479726.8962100563,0.09049315092186871,-0.07232131224123024,198060.94329854756,215984.10213219072,0.06312795212701894,-0.04372826845375574,2152875.80466264,2288782.4453948005
