year,60_40_return,60_40_maxdd,60_40_start,60_40_end,v8_return,v8_maxdd,v8_start,v8_end
2006,0.09397436546118487,-0.2761882248779777,10000.0,10939.74365461185,0.5499434289194898,-0.008499610458407999,10000.0,15499.434289194898
2007,0.3985092349014423,-0.21856759057667824,10905.56162971334,15251.52865094093,0.6645227264319149,-0.13080996202997894,15626.405365129147,26010.50686269507
2008,-0.519097879740297,-0.6080471463302639,14968.254836245447,7198.265487337989,-0.23768886506724618,-0.29084423639799567,28828.638469452602,21976.39211021446
2009,1.038907266554423,-0.27138663355094866,7319.936096139417,14924.670897132672,0.5538365395659506,-0.13184112377772406,21976.38991257481,34147.717653907304
2010,0.35497090321591807,-0.2667743472643869,15502.70208138043,21005.710241495333,1.0759048342366921,-0.023885943015283077,34147.71421594356,70887.40501901026
2011,-0.04904750358384924,-0.24788823610049163,21579.26443868986,20520.85538879639,0.17343053945272757,-0.12150178934488323,71915.02896793264,84387.29123659972
2012,0.24746094078798486,-0.23973660221144294,21397.855027338614,26692.98836324874,-0.029828229260656203,-0.14169550613706677,84387.28257905014,81870.15936759845
2013,0.5574507420067836,-0.14481942667955433,28449.849388282855,44309.23903976237,0.4184999091423556,-0.10144098121116195,81776.61483403278,116000.12071204491
2014,0.3211012375744722,-0.1662549268523881,43581.29560080965,57575.30355332853,0.7278059055403727,-0.11609003025529,116817.80823640634,201838.49894314568
2015,0.043057998771357964,-0.24647462688138674,57273.97760974975,59740.080467301144,0.1880765533895552,-0.16542627575528873,201838.47878083366,239799.5642113237
2016,0.11906406244089607,-0.16243799618911062,57528.25855585841,64377.80672466915,0.139257239882838,-0.2197515357797346,241074.46347365837,274645.8278632361
2017,0.7069853987090171,-0.1170723625923752,65632.54241813564,112033.79158790773,0.26275486507706103,-0.12135627785974375,274645.80267970695,346810.32350679446
2018,-0.1502200043637988,-0.39693914402916497,116720.31217984654,99186.58637484604,-0.2922340240435517,-0.4080540324008644,345034.25078923773,244203.5032482468
2019,0.8713875754061031,-0.21422322871319713,99856.71630174556,186870.6182079387,0.06216697870626997,-0.06158621630694286,244203.47882789647,259384.87129618737
2020,0.684067193477957,-0.4790569696335619,194193.88885942477,327035.55740206176,0.9133125462499445,-0.16525802166315545,405216.76245058246,775306.3155474828
2021,0.4930889863429597,-0.22991740571769353,319357.6684470763,476829.41746249615,0.49858333891734663,-0.07497181114895776,775306.2372281468,1161861.0096688005
2022,-0.47232930684043384,-0.5177991263059677,485230.6857717043,256042.01230344683,0.027546613855681246,-0.14034453792321874,1452323.0125594705,1492329.593780166
2023,1.4187110963208092,-0.2532969767276529,256442.2261930431,620259.6580583242,0.17415016042364662,-0.16209985704121896,1203137.0230768838,1412663.5286573516
2024,0.5896189500718882,-0.25994455396628685,594224.9009202534,944591.163107425,1.1643279551769146,-0.0511590360375584,1420390.9499657855,3074191.8402912435
2025,0.5100715816353403,-0.3394767196816,944797.1738207147,1426711.3625960462,0.7681216547815641,-0.1815943882437613,3058335.7924222704,5407509.742175351
2026,0.04011548504882434,-0.14001984354675265,1424845.2632740303,1482003.6221297877,0.6485821954927447,-8.794455476933641e-08,5407509.196413313,8914723.383170268
